이름,플랫폼,작가,첫화링크,장르,조회수,좋아요,무료,줄거리,키워드,상태,요일,무료주기
사기꾼이지만 괜찮아,kakao,차차,https://webtoon.kakao.com/content/%EC%82%AC%EA%B8%B0%EA%BE%BC%EC%9D%B4%EC%A7%80%EB%A7%8C-%EA%B4%9C%EC%B0%AE%EC%95%84/3194,로맨스 판타지,93.4만,4만,3.0,"""서류에 서명하시면 레이디께서는 앞으로 1년간 르비어스 공작부인이 되십니다""“계약에 대한 대가로 선금 십만 루블, 완수되는 날 백만 루블을 받으시게 됩니다”황가에 버금가는 위상을 가진 르비어스 공작의 떠도는 소문을 잠재우기 위해 시작된 계약 결혼그 소문은 [르비어스 공작과 처음 혼인하는 여자는 저주로 인하여 1년 안에 급사한다]는 것""그런 사특한 소문을 낸 자는 공작가의 힘을 총동원해서라도 찾아내 엄벌을 내릴 겁니다 소문은 신경 쓰지 마십시오 레이디""“저는 정말 괜찮답니다”왜냐하면그 소문, 내가 낸 거거든제국을 등쳐먹는 최고의 사기꾼을 꿈꾸는 인생 2회차 세이젤지난 생의 감방 동기들을 줍줍해서 제대로 사기 치며 대놓고 막살려고 했는데…이 남자, 엄청난 호구 같은데 어딘가 수상하다정중하긴 한데 어딘가 음흉해 보이는 것 같은데?과연 이 계약은 무사히 완수될 수 있을까?","통쾌한,궁금하게하는,로맨스판타지,회귀물",연재,월,3시간마다 무료
그땐 득템인 줄 몰랐다,kakao,차우렌즈,https://webtoon.kakao.com/content/%EA%B7%B8%EB%95%90-%EB%93%9D%ED%85%9C%EC%9D%B8-%EC%A4%84-%EB%AA%B0%EB%9E%90%EB%8B%A4/3669,판타지 드라마,41.7만,1.5만,3.0,"게임으로 생활비를 벌어 먹고 사는 서연우에게 부여된 히든 퀘스트게임 속에서 몇 달을 고생해 보상으로 받은 큐브 쪼가리는 어디에 쓰는 물건인고? 이거 완전 사기꾼들 아니야 내 피같은 시간 내놔그런데 큐브가 내 손에 닿자 신기한 일이 벌어졌다 ""고대 마도 병기 '기간테스 다크'의 주인이 되셨습니다""나 이제 인생 핀거야? 대박 난거야? 생계형 게이머 서연우와 고대병기 기간테스 다크의 모험이야기","역동적인,웃기는,판타지드라마,레벨업물",시즌완결,목,1일마다 무료
취접냉월,kakao,레이카,https://webtoon.kakao.com/content/%EC%B7%A8%EC%A0%91%EB%83%89%EC%9B%94/2803,로맨스,117.3만,2.4만,4.0,"대한민국 만화계의 거장, 황미나 작가의 고전 명작이 웹툰으로 리메이크 되다‘차가운 달이 뜨니, 취한 나비가 날아드는구나’유능한 암살자 냉소월은 어릴 적부터 암살 문파인 현진문에서 자라,곧 문파 최고의 암살자인 특급살수를 목전에 두고 있다그녀의 목표는 집안을 멸문시킨 ‘단혼오공표’의 흔적을 찾아 복수하는 것하지만 특급살수가 되기 위한 마지막 목표를 두고,그녀는 현존하는 무림 최고의 방파, 천응방의 후계자인 백운비를 만나버린다자신과는 다르게 밝고 정의로운 운비를 보며 소월은 정체불명의 감정에 휩싸이는데…무림을 배경으로 펼쳐지는 치열하고 아름다운 사랑과 복수―","처절한,몰입되는,로맨스,복수물",완결,1일마다 무료,1일마다 무료
망향무사,kakao,범버엄,https://webtoon.kakao.com/content/%EB%A7%9D%ED%96%A5%EB%AC%B4%EC%82%AC/3045,액션/무협,137.8만,4.3만,4.0,"""전장의 유령늑대, 무림에서 포효하다""10년 전쟁이 끝난 후 고향으로 돌아온 소천호아버지는 돌아가시고 가족 같던 사제 백동근은 행적을감췄다어린 시절 친구 소혜와 잠시나마 행복한 시간을 보내지만병에 걸린 소혜는 죽기 전 자신의 딸 휘연을 부탁한다모든 것을 잃은 천호는 휘연을 지키기 위해 무림인들과끝없는 싸움을 시작하는데…부러지지 않는 강골, 압도적인 힘을 가진 상남자사랑하는 여인의 아이를 지키기 위해 모든 것을 걸다―","통쾌한,몰입되는,액션/무협,복수물",시즌완결,월,1일마다 무료
70억분의 1의 이레귤러,kakao,럭키나인,https://webtoon.kakao.com/content/70%EC%96%B5%EB%B6%84%EC%9D%98-1%EC%9D%98-%EC%9D%B4%EB%A0%88%EA%B7%A4%EB%9F%AC/2870,판타지 드라마,173.2만,6.3만,3.0,"과도한 감각 증폭 현상인 ‘선천적 과몰입 증후군’으로 가상현실을 할 수 없는 주승호어느 날 그에게 색 모를 동아줄이 내려온다바로 ‘4세대 VRS’ 기기의 테스터테스터를 거쳐 가상현실을 할 수 있게 되었을 때, 처음으로 생각했다자신이 잡은 것은 금으로 만들어진 동아줄이었음을통칭 4세대라 불리는 ‘Lost Sky Online’을 체험했을 때, 깨달았다‘선천적 과몰입 증후군’은 과거엔 독이었지만, 사실 축복이었다는 것을평소의 내가 아닌, 새로운 나로 변하는 시간[로스트 스카이의 세계에 오신 것을 환영합니다]","역동적인,개성있는,판타지드라마,레이드물",시즌완결,3일마다 무료,3일마다 무료
대사형 선유,kakao,노경찬,https://webtoon.kakao.com/content/%EB%8C%80%EC%82%AC%ED%98%95-%EC%84%A0%EC%9C%A0/2589,액션/무협,"2,327.4만",72.5만,71.0,"삼류 낭인 곽노의 손에 거둬진 아이들사제관계를 맺고 아이들은 어설프게나마무공과 보법 수련을 하며 각자의 꿈을 꾼다먹고살기 위해 곽노는 늘 자리를 비워야 했고,아이들 중 맏이인 선유는 사제들을 돌봐야 한다그는 대사형大師兄이다","역동적인,감동적인,액션/무협,가족물",시즌완결,월,1일마다 무료
빠져도 괜찮아,kakao,해미,https://webtoon.kakao.com/content/%EB%B9%A0%EC%A0%B8%EB%8F%84-%EA%B4%9C%EC%B0%AE%EC%95%84/3599,로맨스,29.4만,"9,623",3.0,"우리 회사는 눈이 즐겁다젠틀한 팀장님에 훈남 대표님까지그런데 신입사원 환영 회식에서 말도 안되는 실수를 한 나어제까지의 멋진 팀잠님이 나를 외면하기 시작하는데이대로 팀장님에 대한 내 덕질을 끝낼 수는 없어내 덕심을 받아주실 때까지 직진, 또 직진하는 나였는데??그런데 이게 왜 덕질 아닌 연애가 되는 건지, 누구 좀 알려줄 사람?","발랄한,설레는,로맨스,로맨틱코미디물",연재,월,3시간마다 무료
대공가에 입양된 성녀님,kakao,황비노,https://webtoon.kakao.com/content/%EB%8C%80%EA%B3%B5%EA%B0%80%EC%97%90-%EC%9E%85%EC%96%91%EB%90%9C-%EC%84%B1%EB%85%80%EB%8B%98/3524,로맨스 판타지,243.5만,10.7만,4.0,"“그만하고 싶어더는… 이용당하면서 살고 싶지 않아”성녀의 힘을 가졌음에도 내정된 가짜 성녀를 위해평생을 감금당한 채 살아야 했다괴로움을 견디지 못해 죽고 나면 되돌아왔고,강제로 반복되는 회귀 끝에 다른 방법을 택한 다이나는우연히 대공가에 입양되는데“테르시아 가문의 하나뿐인 딸로,모든 걸 가지게 해주마”새로운 이름과 함께 가족의 소중함을 알게 된 다이나는더 이상 신전에 이용 당하지 않기 위해 복수를 결심한다","따뜻한,공감되는,로맨스판타지,회귀물",시즌완결,월,1일마다 무료
이번엔 남주를 바꾸겠습니다,kakao,디포리,https://webtoon.kakao.com/content/%EC%9D%B4%EB%B2%88%EC%97%94-%EB%82%A8%EC%A3%BC%EB%A5%BC-%EB%B0%94%EA%BE%B8%EA%B2%A0%EC%8A%B5%EB%8B%88%EB%8B%A4/3842,로맨스 판타지,41.4만,1.3만,3.0,"""사랑하는 사람이 생겼습니다 그러니 파혼해 주십시오, 영애""""네? 당신 설마 진짜 이름이…""피폐 소설 <망각의 강>에 빙의한 후, 공작가의 영애로 조용히 살던 어느 날평범했던 나의 약혼남이 남자 주인공이란 걸 알아버렸다원작대로라면 그가 사랑하는 사람은 여주인공인 성녀일 테고,나는 남주의 약혼녀니까…쥐도 새도 모르게 암살당할 예정인 조연 캐릭터잖아?충격적인 사실을 두 개나 알아버린 그날 밤, 지나가던 남자에게 술기운에 취해 고백해 버렸다 이 소설의 내 최애인 흑막캐, 그러니까 황태자 히페리온 솔 루시우스를 닮았다고 생각은 했는데…""저랑 약혼하실래요? 결혼이나 연애? 바람도 괜찮구…""""뭐 그러든지""그 남자가 히페리온이었다니그날 일을 계기로 황태자와의 약혼은 일사천리로 진행되는데…그런데 날 차버린 약혼남이 이제 와서 내게 집착한다얘 왜이러는지 이유 아는사람?아니 그보다 내가 황태자와 약혼을?이거 조연치고는 너무 과한데?흠,아무래도 이 소설의 진짜 주인공은 따로 있는 것 같다","발랄한,설레는,로맨스판타지,로맨틱코미디물",시즌완결,월,3시간마다 무료
호랑낭자뎐,kakao,요신,https://webtoon.kakao.com/content/%ED%98%B8%EB%9E%91%EB%82%AD%EC%9E%90%EB%8E%90/3406,로맨스 판타지,34.4만,1.3만,3.0,"""내가 태어나던 날, 우리 부족은 전멸했다""선왕의 죽음과 새로운 왕의 즉위로 궁중에는 한바탕 복수의 피바람이 몰아치고, 흉사를 예언하는 부엉이의 울음소리가 끊이지 않는다 불안감에 시달리던 왕은 조선의 둘째 왕자이자 사령을 보고 듣는 배다른 형제 무영을 불러들인다사랑하는 여인이 죽고 한양에서 자취를 감췄던 무영 왕의 부름으로 도성에 돌아온 그의 앞에는 인간의 탐욕과 귀신의 원한이 서린 기묘한 사건들이 펼쳐진다 무영은 미스터리한 소년 해랑과 함께 도성에서 벌어진 해괴한 사건들을 쫓으며 삼 년 전에 궁중을 흔들었던 수궁무의 죽음과 그 배후를 파헤치기 시작하는데호족이 멸문하던 날 태어난 아이 해랑과 사령을 보고 듣는 비운의 왕자 무영이 펼치는 본격 궁중 미스터리 판타지도성을 둘러싼 미스터리한 사건과 궁중에서 벌어지는 권력 암투까지 조선판 CSI의 탄생","미스테리한,긴장감있는,로맨스판타지,범죄스릴러물",완결,1일마다 무료,1일마다 무료
내가 훔친 작가님,kakao,구십,https://webtoon.kakao.com/content/%EB%82%B4%EA%B0%80-%ED%9B%94%EC%B9%9C-%EC%9E%91%EA%B0%80%EB%8B%98/3559,로맨스 판타지,30.3만,1.1만,3.0,"전생을 기억한 채 전혀 다른 세상에서 태어난인생 2회 차의 안젤라그녀는 전생의 최애, 동화작가인 안데르센의 이야기를 널리 알리고 싶어출판사를 차리고 그의 동화들을 출판해 승승장구한다그런데……“말도 안 돼”“뭐가 말도 안 된다는 겁니까?”이 세계에도 안데르센이 있다니?그것도 매우 까칠하고 잘생긴안젤라는 난생 처음 작가 영입에 뛰어들었다높은 귀족 가문의 기사로서 탄탄대로인 삶을 살고 있는 그지만보석 같은 진짜 재능은 따로 있는 걸“작가님, 저와 (종신)계약해 주세요""동화보다 더 동화 같은 로맨스판타지,<내가 훔친 작가님>","발랄한,귀여운,로맨스판타지,환생물",휴재,월,1일마다 무료
"가을, 만나다",kakao,다드래기,https://webtoon.kakao.com/content/%EA%B0%80%EC%9D%84-%EB%A7%8C%EB%82%98%EB%8B%A4/3234,로맨스,102.1만,3.4만,3.0,"“저 교수님 안 좋아해요”맑고 예쁜 눈으로 조곤조곤 할 말은 다 하는 조교 윤희민“……그거참 다행이군요”본인의 의지와는 상관없이, 늘 화제가 되어버려 혼자가 좋은 화학과 교수 서지혁지혁은 혼자가 편하지만 뭐 하나 흠잡을 구석 없이, 시키기도 전에 조용히 모든 걸 준비해놓는 윤 조교를 마다할 구실이 없었다그렇게 시작된 교수실 생활사람이 둘이나 있는 공간임에도 귀가 먹먹한 고요가 내려앉는데, 오히려 그래서 더 신경 쓰인다마음이 쓰이고 눈길이 간다","따뜻한,설레는,로맨스,힐링물",완결,3시간마다 무료,3시간마다 무료
조동길,kakao,투니야,https://webtoon.kakao.com/content/%EC%A1%B0%EB%8F%99%EA%B8%B8/3444,학원/판타지,21.5만,"9,772",3.0,주먹으로 다지는 뜨거운 의리와 우정,"역동적인,통쾌한,학원/판타지,조직/암흑가",완결,15,1일마다 무료
호접몽전,kakao,민경근,https://webtoon.kakao.com/content/%ED%98%B8%EC%A0%91%EB%AA%BD%EC%A0%84/3331,액션/무협,32.5만,1.6만,3.0,"'그땐 알지 못했다 아버지가 남겨놓은 이것들이, 나의 운명을 집어삼킬 것이란 사실을'순간 기억능력을 지닌 진용운은 정체 모를 괴한의 습격을 받지만신비한 유물 덕분에 위기를 모면하고 삼국지 시대로 이동한다평소 즐겨 하던 게임 <삼국지 스페셜>의 능력을 가지고 마주한 삼국 시대,조자룡과 사천신녀의 호위 속에서 펼쳐지는 새로운 여정","몰입되는,궁금하게하는,액션/무협,레벨업물",완결,1일마다 무료,1일마다 무료
무공서고의 주인,kakao,한여름,https://webtoon.kakao.com/content/%EB%AC%B4%EA%B3%B5%EC%84%9C%EA%B3%A0%EC%9D%98-%EC%A3%BC%EC%9D%B8/3525,액션/무협,110.7만,3만,3.0,"하씨세가의 서자, 하소찬 그의 인생은 절망과 좌절뿐이었다 『무공서고의 주인』 최선을 다해 수련했지만 남은 것은 비웃음과 단전이 파괴된 몸뿐 그 순간, 그에게 찾아온 기적 [무공서고의 주인이 되신 것을 환영합니다] “세상이 나의 이름을 기억하게 해 주겠어”역대 최강의 스승과 기연 천하를 제패할 위대한 검신의 행보가 시작된다","몰입되는,역동적인,액션/무협,성공성장물",시즌완결,일,3일마다 무료
랭커,kakao,홍덕화,https://webtoon.kakao.com/content/%EB%AC%B4%ED%8C%A8%EC%9D%98-%EB%9E%AD%EC%BB%A4/2807,판타지 드라마,119.7만,3만,3.0,"32년 전 심판의 날갑작스럽게 나타난 몬스터들에 의해 인류는 멸종 직전까지 몰리게 된다하지만 독특한 능력을 사용하는 이능력자들이 각성하며 싸움은 새로운 국면을 맞이하고치열한 전투 끝에 잃어버린 땅을 되찾는다살아남은 몬스터들은 전세계 곳곳에 던전을 형성하며 인간을 위협하고,인류는 제2의 참극을 막기 위해 주식회사 '칸'에서 '로스트 시티'라는 가상현실 게임을 개발해 헌터들을 육성하기 시작한다'로스트 시티'에서 무패의 기록을 가진 랭커 권진수그는 여동생 권수아를 위해 헌터가 되고, 고유 능력으로 나타난 애플과 함께 던전을 정복해 나간다그러다 마침내 오랫동안 찾아 헤매던 케네스를 만나 이 세계에 숨겨진 비밀들에 대해 듣게 되는데 ","압도되는,긴장감있는,판타지드라마,레이드물",시즌완결,토,7일마다 무료
엑스트라는 가장 먼저 버려진다,kakao,피피치(해피북스투유),https://webtoon.kakao.com/content/%EC%97%91%EC%8A%A4%ED%8A%B8%EB%9D%BC%EB%8A%94-%EA%B0%80%EC%9E%A5-%EB%A8%BC%EC%A0%80-%EB%B2%84%EB%A0%A4%EC%A7%84%EB%8B%A4/3218,로맨스 판타지,169.1만,7.9만,4.0,"태양, 달, 그리고 별에게 가호를 받아 번성한 벨비체 제국막내 황녀로 태어난 스텔라는 별의 능력을 발현하지 못해반란이 일어나자 가족들에게 가장 먼저 버려진다시간이 흘러, 스텔라는 아픈 과거를 잊고그녀를 거둬준 새 가족들과 함께 평민 '에델'로 행복하게 살아간다그런데 스텔라가 사라진 이후 제국에는 별이 뜨지 않고그제서야 황족 일가는 10년 전에 버린 막내 황녀를 찾기 시작하는데돌아온 스텔라는 황가를 무너뜨리고 황제에 올라어느 누구에게도 고개를 숙이지 않고 스스로 왕관을 쓴다“이제 당신들이 바라는 스텔라를 무참히 부숴 주겠어”","분노유발,몰입되는,로맨스판타지,정치물",연재,월,3시간마다 무료
하필이면 까마귀가 되어버렸다,kakao,글리,https://webtoon.kakao.com/content/%ED%95%98%ED%95%84%EC%9D%B4%EB%A9%B4-%EA%B9%8C%EB%A7%88%EA%B7%80%EA%B0%80-%EB%90%98%EC%96%B4%EB%B2%84%EB%A0%B8%EB%8B%A4/2748,로맨스 판타지,800만,52.3만,3.0,"사고로 죽은 뒤 여성향 게임에 환생, 아니 빙의해 버렸다…그것도 까마귀로내가 까마귀라니 지나가는 엑스트라1도 아니고 까마귀라니주변에 키워 줄 사람을 찾으려 했는데… 나타난 사람이 황태자?""레이넬, 넌 정말 어쩜 이리도 사랑스럽니""""까아아아악, 까악(그럼 날 데려다 키워 줘)""나에게 이름도 지어 주고 사랑도 주는 황태자, 카무트어차피 나는 까마귀니까 저놈이 좋아한다 해도,내가 그의 행동에 설레도 전혀 문제없겠지문제가 없을 뻔했는데……""안녕, 레이넬?""나한테 갑자기 무슨 일이 일어난 거지?※ 본 작품은 동명의 소설을 원작으로 한 웹툰으로, 일부 내용이 웹툰에 맞춰 각색 되어 원작과 다르게 표현될 수 있습니다","몰입되는,궁금하게하는,로맨스판타지,수인물",완결,1일마다 무료,1일마다 무료
궁궐의 맹수,kakao,정오늘,https://webtoon.kakao.com/content/%EA%B6%81%EA%B6%90%EC%9D%98-%EB%A7%B9%EC%88%98/3442,판타지 드라마,33.5만,1.1만,3.0,"자신의 능력이 비범함을 알고 있었으나 자신이 왕이 되지 못할 것을 알고 있던 공주는 시녀와 조용히 여생을 살고자 했다하지만 현국을 탐내는 주국의 음모가 판을 치고, 공주를 위협이라 느끼는 왕자는 공주의 시녀를 건드리고 시녀는 사라진다평생을 궁에서 살며 자신의 이익을 위해 거짓만을 말하던 이들 사이에 진실로 자신을 아껴주던 시녀를 건드린 순간, 비범한 구렁이는 자신의 사람을 지키기 위해 스스로 이무기를 뛰어넘는 용이 되고자 기지개를 펴기 시작한다“현국의 공주가 삼국을 통일할 것이다”신의 배려와 용의 호의로 세워진 나라 속 인간의 욕심과 용의 저주로 얼룩진 능력, 예언에서 시작된 예정되어 있던 전쟁예언이 완성되고 공주는 과연 황제가 될 수 있을까","긴장감있는,몰입되는,판타지드라마,가상시대물",시즌완결,월,1일마다 무료
더 라이브,kakao,앤트스튜디오,https://webtoon.kakao.com/content/%EB%8D%94-%EB%9D%BC%EC%9D%B4%EB%B8%8C/2528,액션/무협,717만,21.7만,4.0,"불의의 사건으로 아내와 딸을 잃은 가장 윤재는 하루하루 절망에 빠져 살던 중, 미래의 자신이 보낸 일기장을 읽게 된다“아내와 딸을… 다시 만날 수 있다고?”'이면 세계'의 '게임'을 이겨내는 자에게 주어지는 '성배', 그것을 사용하면 잃어버렸던 가족과 재회할 수 있다고 하는데…강자만이 살아남는 잔혹한 세계에서 단 한 명, 미래를 아는 자가 된 윤재 그는 그토록 바라던 소원을 이룰 수 있을까?","처절한,긴장감있는,액션/무협,레벨업물",완결,3시간마다 무료,3시간마다 무료
흑막은 매일 밤 나를 찾아온다,kakao,우주연,https://webtoon.kakao.com/content/%ED%9D%91%EB%A7%89%EC%9D%80-%EB%A7%A4%EC%9D%BC-%EB%B0%A4-%EB%82%98%EB%A5%BC-%EC%B0%BE%EC%95%84%EC%98%A8%EB%8B%A4/3293,로맨스 판타지,42.9만,2.1만,3.0,"수도 엘바크에는 한옥풍으로 건축된 13층짜리 호텔이 있다나는 호텔 미드나잇 블루의 마스터 루비……그리고 흑막공에게 살해당하는 여관 주인1‘그게 나일지도 몰라’이곳은 <기어라, 그리고 내 열망을 삼켜라>, 그런 제목을 가진 BL 웹소설의 세계“죽을 수 없어 벽에 똥칠할 때까지 살 거야”하지만 쉽지가 않다반란군의 수장인 흑막공이 내 호텔에서 반역을 도모하고 있었다*“원하는 걸 말씀해주세요 내가 당신의 손에 쥐여드릴 겁니다”“무엇이든?”“무엇이든 나의 마스터 루비”반란군의 수장, 흑막공 엘리고스 난 그에게 원하는 게 있었다“엘리고스 반란을 멈춰요 당신은 황제가 될 수 없어요”“대신 나도 원하는 게 있어요”내 허리에 팔을 두른 엘리고스가 천천히 고개를 숙이고, 서로의 숨결은 가까이에서 느껴졌다아래쪽 입술을 그의 단단한 손가락이 아찔하게 문질렀다붉어진 눈시울로 엘리고스를 바라보는 그 순간, 허리에 있던 그의 팔에 힘이 들어갔다순식간에 침대에 나를 눕힌 엘리고스가 아름다운 미소를 지었다“루비 오늘 밤에 당신이 나를 가졌으면 해요”","발랄한,웃기는,로맨스판타지,가상시대물",시즌완결,월,1일마다 무료
주인공 옆에 붙어만 있겠습니다,kakao,사,https://webtoon.kakao.com/content/%EC%A3%BC%EC%9D%B8%EA%B3%B5-%EC%98%86%EC%97%90-%EB%B6%99%EC%96%B4%EB%A7%8C-%EC%9E%88%EA%B2%A0%EC%8A%B5%EB%8B%88%EB%8B%A4/3239,로맨스 판타지,150.5만,8.8만,3.0,"약혼녀만 열 명 이상 죽일 예정인 미친 주인공의 양판소에 빙의했다먼 발치서 조용히 살다 가려고 했는데 남주가 자꾸만 관심을 보인다게다가 어리지만 벌써부터 싹수가 잘생긴 얼굴이 눈부시기까지한데""나 잘했어? 그럼 어서 칭찬해 줘""갑자기 다정한 척하지 마 미친놈아","몰입되는,궁금하게하는,로맨스판타지,빙의물",시즌완결,화,1일마다 무료
닥터 플레이어,kakao,소이미디어,https://webtoon.kakao.com/content/%EB%8B%A5%ED%84%B0-%ED%94%8C%EB%A0%88%EC%9D%B4%EC%96%B4/3399,판타지 드라마,173.7만,8만,3.0,"왕의 사생아, 레이몬드사람들의 멸시로부터 도망쳐 치료사가 되지만, 결과는 F급 낙제 치료사라는 낙인뿐 그러던 어느 날, 그에게 기적이 찾아온다 [플레이어로 각성하였습니다][직업 : 외과의사(SSS급)] 이 세계에 존재하지 않는 의학 지식을 얻게 된 레이몬드최초의 외과의사 레이몬드의 위대한 전설이 시작된다","따뜻한,궁금하게하는,판타지드라마,전문직물",시즌완결,목,1일마다 무료
메시아 - 신들의 종말,kakao,Koon,https://webtoon.kakao.com/content/%EB%A9%94%EC%8B%9C%EC%95%84---%EC%8B%A0%EB%93%A4%EC%9D%98-%EC%A2%85%EB%A7%90/3278,학원/판타지,60.1만,2.2만,40.0,"인간을 만들어낸 12명의 '신'하지만 그들은 인류를 종말 시키기로 결정한다인간들의 구원자였던 신들이, 인류의 종말을 바란다면,  인간은 이제 무엇을 믿어야 하는가?이 땅의 인류는 모두 '오염체'라 불리는 '괴물'로 전락하였고,한때 인간이었던 그들은 신의 사자가 되어 최후의 인류가 생존하고 있는 유일한 곳, 성도 '메시아'를 몰락시키기 위해 살육 본능만을 지닌 채 메시아를 공격한다인류가 생존할 수 있는 유일한 방법 지상에 강림하는 12신들을 모두 처치하고, 그들의 영혼 파편을 모아 신들의 신이자 모든 만물의 창조주, 그리고 인류의 편에 선 유일한 신, '가이아'를 깊은 봉인으로부터 깨워내야만 한다 ‘가이아’에게 선택된 성녀 ‘테이아’와‘테이아’에게 선택된 신을 죽일 수 있는 전사 ‘세이비어’들은 인류를 지키기 위해 자신들의 창조주 ‘신’들에게 칼을 겨누는데","처절한,긴장감있는,학원/판타지,재난물",시즌완결,15,전편 무료
감정사는 조회수로 레벨업한다,kakao,Zui,https://webtoon.kakao.com/content/%EA%B0%90%EC%A0%95%EC%82%AC%EB%8A%94-%EC%A1%B0%ED%9A%8C%EC%88%98%EB%A1%9C-%EB%A0%88%EB%B2%A8%EC%97%85%ED%95%9C%EB%8B%A4/3659,판타지 드라마,43.4만,1.2만,3.0,"던전 공헌도가 사회적 지위를 결정짓는 세상에서 천수림은 '감정사'라는 클래스를 보유하고 있다전투에 적합하지 않은데다 전례도 없는 클래스인 '감정사' 능력을 인정받지 못한 수림은 답답한 마음으로 하루하루를 보낸다그러던 어느날, 수림은 몬스터를 감정한 정보 영상을 업로드하고 그 일로 레벨업할 수 있는 법칙을 알게 된다그것은 바로 수림이 업로드한 영상을 본 사람이 몬스터를 퇴치하면 그 경험치를 나눠 받게 되는 것한계 없는 레벨업이 가능해진 수림은 소중한 이를 구하기 위해 던전에 도전하기로 한다","통쾌한,몰입되는,판타지드라마,레벨업물",연재,목,1일마다 무료
폐하가 하필 짐승이라서,kakao,Genie,https://webtoon.kakao.com/content/%ED%8F%90%ED%95%98%EA%B0%80-%ED%95%98%ED%95%84-%EC%A7%90%EC%8A%B9%EC%9D%B4%EB%9D%BC%EC%84%9C/2818,로맨스 판타지,316.4만,9.5만,3.0,"죽어가던 짐승을 구한 여자, 벨리아나라를 버리고 달아나려던 벨리아에게 손을 내민 남자, 칸길들여지지 않은 기운과는 달리 그의 몸짓은 다정했고허름한 그녀의 삶을 바꿔주겠다는 그의 속삭임은 달콤했다""나와 함께 가자""한 걸음만 더 내딛으면 그의 손을 잡을 수 있는데그의 손을 잡아보기도 전에 오해만 쌓여가고다시 만난 그는 짐승이 아닌, 황제가 되어 있었다""기어이, 황태자비가 되겠다는 건가""감히 대답할 수 없었던 그의 질문한없이 다정하게 굴던 남자의 모습은 사라진 지 오래였다""그대는 죽어가던 짐승 새낄 구한 거야 그 짐승이 그댈 어떻게 물어 뜯을지도 모르고""","가슴먹먹한,설레는,로맨스판타지,치정물",완결,3일마다 무료,3일마다 무료
목표는 금수저로 무병장수하기입니다,kakao,"요슈아, 남사랑",https://webtoon.kakao.com/content/%EB%AA%A9%ED%91%9C%EB%8A%94-%EA%B8%88%EC%88%98%EC%A0%80%EB%A1%9C-%EB%AC%B4%EB%B3%91%EC%9E%A5%EC%88%98%ED%95%98%EA%B8%B0%EC%9E%85%EB%8B%88%EB%8B%A4/2403,로맨스 판타지,320.6만,10.4만,3.0,"“기껏 금수저로 태어났는데, 비참하게 살해당한다고? 철저하게 살아남아서 무병장수해 주겠어” 좋아하는 소설 남주의 여동생으로 환생했는데, 열일곱 살에 계모에게 독살당할 운명이다 오빠는 여주와 모험 중이니, 나 혼자 어떻게든 살아남아야 하는데 나는 이 세계에 대해서 알고 있어책 속의 수많은 인물 중에서 나에게 도움이 되는 사람들이 있을거야 비참하게 죽을 운명을 피해 금수저로 잘 먹고 잘살기를 꾀하는 나, 아드리아나에게 제국의 황자, 수상한 상단 주인, 더 수상한 마족이 접근하기 시작한다 그래 이대로 얌전히 죽어줄 순 없어난 살아남을 거야“내 목표는 금수저로 무병장수하기니까”","설레는,몰입되는,로맨스판타지,로맨틱코미디물",완결,3시간마다 무료,3시간마다 무료
카르세아린,kakao,차우민,https://webtoon.kakao.com/content/%EC%B9%B4%EB%A5%B4%EC%84%B8%EC%95%84%EB%A6%B0/3294,액션/무협,118만,6.8만,10.0,"최초의 무단가출 드래곤 아린의 좌충우돌 인간계 모험기  대륙 중앙을 차지하는 거대한 산악지대라르테아드 산맥에는 드래곤 중 가장 성질이 더럽다는레드 드래곤 일족이 살고 있었는데 평소 인간 용사의 모험을 동경하던 300살의 어린(?) 해츨링레드 드래곤 '카르세아린'은 유일하게 알고 있는 형태 변환 마법인 '폴리모프'를 이용해 인간으로 변신하여 일족 몰래 무단 가출을 감행하게 된다 인간이 된 아린은 용사가 되기는커녕오크에게 쫓기고,노예로 팔리기도 하고,공주가 되어보기도 하면서인간의 몸으로 험난한 모험을 시작하는데","기발한,개성있는,액션/무협,에피소드물",완결,3시간마다 무료,3시간마다 무료
